plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
HD 149143 b,4.07206,1.32811,0.0530508,0.08,,1.05,,,1,RV,2006,248.2127501,2.085038889,0.714,7.89,74.33,1.2,1.71219,5884,4.071,0.26,0.000320041,0.0784473,0.00147489,0.04,,,,,1.4,0.1,0.0558137,50,0.07,0.05,0.000320041,0.0784473,0.00147489,-0.04,,,,,-1.35,0.1,0.0558137,50,0.07,0.05,4,0.5,0.5,7.6,1.2,1.2,0.155,-5.04
HD 1502 b,431.8,2.9072,1.31,0.101,,,,,1,RV,2011,4.820916675,14.05479722,0.92,8.52,159,1.61,4.5,5049,3.4,-0.04,3.1,0.171689,0.03,0.036,,,,,19,0.11,0.1,44,0.06,0.03,3.1,0.171689,0.03,0.036,,,,,19,0.11,0.1,44,-0.06,0.03,2.7,0.5,-0.5,2.4,0.5,0.5,0.146,
HD 150433 b,1096.2,0.168,1.9303,0,,,,,1,RV,2011,250.2833333,-2.8572222,,7.22,29.6,,,,,,27.234,0.0197,0.0452,,,,,,0.5,,,,,,27.234,0.0197,0.0452,,,,,,0.5,,,,,,,,,,,,,
HD 150706 b,5894,2.71,6.7,0.38,,,,,1,RV,2012,247.823273,79.789772,0.61,7.02,28.27,1.17,0.96,5961,4.5,-0.01,5584,1.14,4,0.28,,,,,0.25,0.12,0.02,27,0.1,0.04,1498,0.66,1.4,0.32,,,,,-0.24,-0.12,-0.02,-27,-0.1,-0.04,3.7,1,-1,3,2,-2,0.249,-4.61
HD 152079 b,2899,2.18,3.98,0.52,,,,,1,RV,2009,253.373901,-46.332958,0.711,9.18,85.11,1.1,1.15,5726,4.36,0.16,52,0.17,0.15,0.02,,,,,1.71,0.05,0.13,100,0.1,0.1,-52,-0.17,-0.15,-0.02,,,,,-1.65,-0.05,-0.13,-100,-0.1,-0.1,1.8,0.1,-0.1,3,3,-3,,
HD 152581 b,689,1.5,1.48,0,,,,,1,RV,2011,253.4315834,11.97378333,0.9,8.54,167.89,0.927,4.8,5155,3.4,-0.46,13,0.1,0.04,0.22,,,,,8.09,0.065,0.1,44,0.06,0.03,13,0.1,0.04,0,,,,,-7.38,0.065,0.1,44,-0.06,0.03,0.5,0.5,-0.5,12,3,3,0.146,
HD 153950 b,499.4,2.73,1.28,0.34,,,,,1,RV,2009,256.1282501,-43.309425,0.565,7.39,48.04,1.12,1.15135,6076,4.37,-0.01,3.6,0.05,0.01,0.021,,,,,0.82,0.03,0.042294,13,0.1,0.01,3.6,0.05,0.01,0.021,,,,,-0.79,0.03,0.042294,13,-0.1,0.01,3,0,0,4.3,1,1,,-4.89
HD 154088 b,18.596,0.0193,0.1316,0.38,,,,,1,RV,2011,256.1166667,-28.5827778,,6.58,17.8,,,,,,0.0205,0.0081,0.0021,0.15,,,,,0.2,,,,,,0.0205,0.0081,0.0021,0.15,,,,,0.2,,,,,,,,,,,,,
HD 154345 b,3341.5588,0.956901,4.21377,0.26,50,,,,1,RV,2007,255.6512501,47.07980278,0.728,6.76,18.26,0.893,1,5468.12,4.53667,-0.104944,92.6798,0.0609378,0.104894,0.15,26,,,,0.07,0.038,0.05,44,0.06,0.03,92.6798,0.0609378,0.104894,0.15,26,,,,-0.07,0.038,0.05,44,0.06,0.03,1.20648,0.5,0.5,4.92,4.48,4.48,0.18292,-4.90775
HD 154672 b,163.967,5.02,0.598618,0.6,,,,,1,RV,2008,257.5203333,-56.44896667,0.71,8.21,62.04,1.08,1.31501,5714,4.15,0.26,0.009,0.17,0.0188245,0.004,,,,,0.97,0.05,0.0447078,30,0.05,0.04,-0.009,0.17,0.0188245,-0.004,,,,,-0.94,-0.05,0.0447078,30,-0.05,0.04,2.2,0.2,-0.2,9.28,2.36,2.36,,
HD 154857 b,408.6,2.24,1.291,0.46,,,,,2,RV,2004,257.815125,-56.68066111,0.65,7.24,64.29,1.718,1.86203,5605,3.95,-0.22,0.5,0.05,0.008,0.02,,,,,1.67,0.022,0.0598637,44,0.05,0.05,0.5,0.05,0.008,0.02,,,,,-1.58,0.03,0.0598637,44,0.03,0.05,1.4,0.5,-0.5,5.6,,,0.142,-5
HD 154857 c,3452,2.57917,5.36,0.06,,,,,2,RV,2007,257.815125,-56.68066111,0.65,7.24,64.29,1.718,1.86203,5605,3.95,-0.22,105,0.147917,0.09,0.05,,,,,1.67,0.022,0.0598637,44,0.05,0.05,105,0.147917,0.09,0.05,,,,,-1.58,0.03,0.0598637,44,0.03,0.05,1.4,0.5,-0.5,5.6,,,0.142,-5
HD 155233 b,818.8,2.6,2,0.04,,,,,1,RV,2016,257.7682083,-20.65423333,1.025,6.813,75.1,1.69,5.03,4960,3.21,0.1,12,0.3,0.06,0.04,,,,,3.3,0.14,0.22,100,0.08,0.07,12,0.3,0.06,0.04,,,,,3.3,-0.14,0.22,-100,0.08,0.07,4.4,1,1,,,,,
HD 155358 b,194.3,0.85,0.64,0.17,,,,,2,RV,2007,257.394875,33.35638056,0.545,7.28,44.02,0.87,1.49875,5900,4.09,-0.51,0.3,0.05,0.01,0.03,,,,,0.47,0.07,0.0509971,100,0.1,0.06,0.3,0.05,0.01,0.03,,,,,-0.46,0.07,0.0509971,100,0.1,0.06,2,,,10.7,,,,
HD 155358 c,391.9,0.807031,1.02,0.16,,,,,2,RV,2007,257.394875,33.35638056,0.545,7.28,44.02,0.87,1.49875,5900,4.09,-0.51,1,0.055682,0.02,0.1,,,,,0.47,0.07,0.0509971,100,0.1,0.06,1,0.055682,0.02,0.1,,,,,-0.46,0.07,0.0509971,100,0.1,0.06,2,,,10.7,,,,
HD 156279 b,131.05,9.7848,0.494507,0.708,,,,,1,RV,2012,258.0967083,63.35170278,0.802,8.077,36.52,0.93,0.958138,5453,4.46,0.14,0.54,0.532642,0.00835298,0.018,,,,,0.32,0.04,0.0315316,40,0.03,0.01,0.54,0.532642,0.00835298,-0.018,,,,,-0.31,0.04,0.0315316,40,-0.03,0.01,2.51,,,4.1,3.6,-3.7,0.155,-5.01
HD 156411 b,842.2,0.74,1.88,0.22,,,,,1,RV,2010,259.9642917,-48.54880833,0.614,6.67,54.7945,1.24,1.85525,5900,3.99,-0.11,14.5,0.05,0.03,0.08,,,,,1.51178,0.02,0.0593854,15,0.01,0.01,14.5,0.04,-0.04,0.08,,,,,1.43274,0.02,0.0593854,15,0.01,0.01,3.3,1,-1,,,,0.16,-5.05
HD 156668 b,4.646,0.0131,0.05,0,,,,,1,RV,2011,259.4189166,29.2267,1.015,8.424,24.5,0.772,0.72,4850,4.598,0.05,0.0011,0.0018,0.0007,,,,,,0.5,0.02,0.013,88,0.12,0.06,0.0011,0.0018,0.0007,,,,,,0.5,0.02,0.013,88,0.12,0.06,0.5,0.1,0.1,8.6,4.8,4.8,0.23,-4.98
HD 156846 b,359.5546,10.57,1.11751,0.84785,,,,,1,RV,2008,260.1433334,-19.3334,0.578,6.5,47.37,1.43,1.58242,6138,3.92,0.22,0.0071,0.29,0.0186261,0.0005,,,,,0.92,0.04,0.0531358,36,0.08,0.05,-0.0071,-0.29,0.0186261,-0.0005,,,,,-0.88,-0.04,0.0531358,36,-0.08,0.05,5.05,0.5,-0.5,,,,,
HD 157172 b,104.84,0.12,0.416,0.46,,,,,1,RV,2011,260.6458333,-19.6161111,,7.86,31.9,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,
HD 158038 b,521,1.8,1.49788,0.291,,,,,1,RV,2011,261.4391667,27.30348333,1.04,7.64,96.13,1.65,4.8,4897,3.2,0.28,6.9,0.2,0.0386455,0.093,,,,,2.94,0.12,0.1,44,0.06,0.03,6.9,0.2,0.0386455,0.093,,,,,-2.77,0.12,0.1,44,-0.06,0.03,1.66,0.5,-0.5,2.5,0.3,0.3,0.119,
HD 159243 b,12.62,1.13,0.110366,0.02,,,,,2,RV,2013,263.3399166,5.700677778,0.54,8.65,74.14,1.125,1.12,6123,4.55,0.05,0.004,0.05,0.00183958,0.018,,,,,1.85,0.03,0.05,65,0.11,0.04,0.004,0.05,0.00183958,-0.018,,,,,-1.77,0.03,-0.05,65,-0.11,0.04,3.8,0.5,-0.5,1.25,1.1,1.1,,-4.65
HD 159243 c,248.4,1.9,0.804743,0.075,,,,,2,RV,2013,263.3399166,5.700677778,0.54,8.65,74.14,1.125,1.12,6123,4.55,0.05,4.9,0.13,0.0170849,0.05,,,,,1.85,0.03,0.05,65,0.11,0.04,4.9,0.13,0.0170849,0.05,,,,,-1.77,0.03,-0.05,65,-0.11,0.04,3.8,0.5,-0.5,1.25,1.1,1.1,,-4.65
HD 159868 b,1178.4,2.20004,2.25,0.01,,,,,2,RV,2007,264.7487916,-43.14510278,0.72,7.24,55.36,1.09,1.84825,5558,3.96,-0.08,8.8,0.0969574,0.03,0.03,,,,,1.08,0.03,0.0592143,15,0.02,0.01,8.8,0.0969574,0.03,0.03,,,,,-1.04,-0.03,0.0592143,-15,0.02,-0.01,2.1,0.5,-0.5,8.1,,,0.148,-4.95
HD 159868 c,352.3,0.73,1,0.15,,,,,2,RV,2012,264.7487916,-43.14510278,0.72,7.24,55.36,1.09,1.84825,5558,3.96,-0.08,1.3,0.05,0.01,0.05,,,,,1.08,0.03,0.0592143,15,0.02,0.01,1.3,0.05,0.01,0.05,,,,,-1.04,-0.03,0.0592143,-15,0.02,-0.01,2.1,0.5,-0.5,8.1,,,0.148,-4.95
HD 1605 b,577.9,0.96,1.48,0.078,,,,,2,RV,2015,5.13108333,30.97466389,0.96,7.52,89.71,1.31,3.8,4757,3.4,0.21,5.6,0.06,0.02,0.082,,,,,2.15,0.11,0.4,50,0.07,0.05,4.9,0.04,0.01,0.035,,,,,-2.06,0.11,0.4,50,-0.08,0.05,0.54,0.5,-0.5,4.59,1.37,1.37,,
HD 1605 c,2111,3.48,3.52,0.098,,,,,2,RV,2015,5.13108333,30.97466389,0.96,7.52,89.71,1.31,3.8,4757,3.4,0.21,42,0.13,0.05,0.032,,,,,2.15,0.11,0.4,50,0.07,0.05,32,0.11,0.05,0.022,,,,,-2.06,0.11,0.4,50,-0.08,0.05,0.54,0.5,-0.5,4.59,1.37,1.37,,
HD 160508 b,178.9049,48,0.68,0.5967,,,,,1,RV,2016,264.8041667,26.75750002,,8.11,92.3,1.25,,6212,,0.01,0.0074,3,0.02,0.0009,,,,,,0.08,,30,,0.02,0.0074,3,0.02,0.0009,,,,,,0.08,,30,,0.02,,,,,,,,
HD 16141 b,75.523,0.249652,0.355656,0.252,,,,,1,RV,2000,38.83341668,-3.559538889,0.67,6.83,37.29,1.052,2.05,5794,4.22,0.170315,0.055,0.0202388,0.00593012,0.052,,,,,0.42,0.0259999,0.21,44,0.06,0.03,-0.055,0.0202388,0.00593012,-0.052,,,,,-0.41,0.0220001,0.21,-44,-0.06,0.03,1.93,0.5,-0.5,7.76,,,0.144562,-5.10894
HD 16175 b,995.4,4.77,2.1185,0.637,,,,,1,RV,2009,39.25808334,42.06273056,0.63,7.29,58.35,1.35,1.87,6022,4.21,0.37,2.8,0.37,0.0666334,0.02,,,,,0.91,0.09,0.04,34,0.06,0.03,2.8,0.37,0.0666334,0.02,,,,,-0.89,0.09,0.04,34,-0.06,0.03,4.8,0.5,0.5,3.3,0.5,-0.5,0.14,-5.13
HD 162020 b,8.428198,15.2138,0.0756944,0.277,,,,,1,RV,2002,267.65975,-40.31828889,0.964,9.1,30.75,0.8,0.526361,4844.67,4.90115,0.112024,5.60E-05,0.508317,0.00126157,0.002,,,,,0.23,0.012,0.0276022,44,0.06,0.03,-5.60E-05,0.508317,0.00126157,-0.002,,,,,-0.22,0.012,0.0276022,44,0.06,0.03,2.31757,0.5,0.5,6,18,-18,,
HD 163296 b,,0.3,105,,,,,,2,Other,2016,269.0875,-21.95611114,,6.85,122,2.3,,,,,,,,,,,,,17,,,,,,,,,,,,,,3,,,,,,,,,0.005,,,,
HD 163296 c,,0.3,160,,,,,,2,Other,2016,269.0875,-21.95611114,,6.85,122,2.3,,,,,,,,,,,,,17,,,,,,,,,,,,,,3,,,,,,,,,0.005,,,,
HD 163607 b,75.29,0.77,0.359201,0.73,,,,,2,RV,2012,268.4190417,56.39166389,0.78,8.15,66.94,1.09,1.69594,5543,4.04,0.21,0.02,0.04,0.00598702,0.02,,,,,1.02,0.02,0.0550561,44,0.06,0.03,-0.02,0.04,0.00598702,0.02,,,,,-0.99,0.02,0.0550561,44,-0.06,0.03,1.5,0.5,0.5,8.6,0.6,-0.6,0.164,-5.01
HD 163607 c,1314,2.2924,2.42,0.12,,,,,2,RV,2012,268.4190417,56.39166389,0.78,8.15,66.94,1.09,1.69594,5543,4.04,0.21,8,0.107621,0.01,0.06,,,,,1.02,0.02,0.0550561,44,0.06,0.03,8,0.107621,0.01,0.06,,,,,-0.99,0.02,0.0550561,44,-0.06,0.03,1.5,0.5,0.5,8.6,0.6,-0.6,0.164,-5.01
HD 16417 b,17.24,0.0669595,0.135435,0.2,,,,,1,RV,2009,39.24425,-34.57734444,0.67,5.78,25.7798,1.115,1.45645,5817,4.17,0.07,0.01,0.00593743,0.00225786,0.09,,,,,0.26861,0.022,0.0466064,0,0,0,0.01,0.00593743,0.00225786,0.09,,,,,0.263128,0.02,0.0466064,0,0,0,2.1,0,0,4.3,0.8,0.8,,-5.09
HD 164509 b,282.4,0.48,0.875,0.26,,,,,1,RV,2012,270.3801251,0.104605556,0.66,8.24,53.86,1.13,1.06,5922,4.44,0.21,3.8,0.09,0.008,0.14,,,,,0.71,0.02,0.03,44,0.06,0.03,3.8,0.09,0.008,0.14,,,,,-0.69,0.02,0.03,44,-0.06,0.03,2.4,0.05,0.05,1.1,1,1,0.18,-4.88
HD 164595 b,40,0.0516,0.23,0.088,,,,,1,RV,2015,270.162048,29.571922,0.635,7.1,28.48,0.99,,5790,4.44,-0.04,0.24,0.00856,,0.12,,,,,0.31,0.03,,40,0.05,0.08,0.24,0.00856,,0.066,,,,,-0.31,0.03,,40,-0.05,0.08,2.1,1,-1,,,,0.159,-5
HD 164604 b,606.4,2.6885,1.30299,0.24,,,,,1,RV,2010,270.7789584,-28.56055,1.39,9.7,38.54,0.8,,,,-0.18,9,1.12506,0.025255,0.14,,,,,0.41,,,,,,9,1.12506,0.025255,0.14,,,,,-0.4,,,,,,2,,,,,,,
HD 164922 b,1201.1,0.3385,2.115,0.126,,,,,2,RV,2006,270.6275417,26.31446667,0.799,7.01,22.04,0.87,0.999,5293,4.39,0.170081,5.6,0.015,0.012,0.049,,,,,0.14,0.01,0.017,32,0.01,0.03,5.6,0.015,0.012,-0.05,,,,,-0.14,-0.01,0.017,32,-0.01,0.03,1.84337,0.5,0.5,13.4,,,0.158115,-5.04779
HD 164922 c,75.765,0.0406,0.3351,0.22,,,,,2,RV,2016,270.628601,26.313002,0.8,6.99,22.04,0.87,0.999,5293,4.39,0.16,0.058,0.005,0.0015,0.13,,,,,0.14,0.01,0.017,32,0.01,0.05,0.058,0.005,0.0015,0.13,,,,,-0.14,-0.01,0.017,32,-0.01,0.05,2,,,13.4,,,0.158,-5.05
HD 165155 b,434.5,2.89,1.13,0.2,,,,,1,RV,2016,271.488953,-29.917253,1.018,9.36,64.98,1.02,0.95,5426,4.49,0.09,2.1,0.23,0.04,0.03,,,,,7.26,0.05,0.11,100,0.11,0.1,2.1,0.23,0.04,0.03,,,,,7.26,0.05,0.11,100,-0.11,0.1,1.5,0.1,-0.1,11,4,4,,
HD 1666 b,270,6.43,0.94,0.63,,,,,1,RV,2015,5.21808333,-19.93108056,0.53,8.17,118.03,1.5,1.93,6317,4.06,0.37,0.8,0.31,0.01,0.03,,,,,3.35,0.07,0.49,44,0.06,0.04,0.9,0.22,-0.02,0.03,,,,,-3.17,0.07,0.49,44,-0.06,0.04,5.6,0.5,-0.5,1.76,0.2,0.2,,
HD 166724 b,5144,3.53,5.42,0.734,,,,,1,RV,2012,273.498657,-42.575375,0.857,9.344,44.76,0.81,,5127,4.43,-0.09,705,0.11,0.43,0.02,,,,,0.67,0.02,,52,0.08,0.03,-467,0.11,0.43,0.02,,,,,-0.65,-0.02,,-52,-0.08,-0.03,1.42,,,4,3.8,-3.8,,
HD 167042 b,420.77,1.7,1.29371,0.089,,,,,1,RV,2008,272.631375,54.28595278,0.943,5.97,50.226,1.63,4.3,4943,3.28,0.05,3.3,0.09,0.022598,0.028,,,,,0.664569,0.06,0.07,12,0.05,0.06,3.3,-0.12,0.022598,0.065,,,,,0.647435,0.06,0.07,-12,-0.05,0.06,1.5,0.5,0.5,2.2,1,1,0.11,-5.34
HD 16760 b,465.1,13.2921,1.08727,0.067,,,,,1,RV,2009,40.58854167,38.61893611,0.71,8.765,45.4545,0.78,0.909718,5620,4.51,-0.02,2.3,0.612565,0.0235072,0.01,,,,,5.43604,0.05,0.0384132,30,0.1,0.03,2.3,0.612565,0.0235072,0.01,,,,,4.38678,0.05,0.0384132,30,0.1,0.03,2.8,1,1,,,,,
HD 168443 b,58.11247,7.659,0.2931,0.52883,,,,,2,RV,1999,275.0166251,-9.595177778,0.724,6.92,37.4252,0.995,1.58859,5591,4.07,0.04,0.0003,0.0975,0.00181,0.00103,,,,,0.992062,0.019,0.0517773,44,0.06,0.03,-0.0003,0.0975,0.00181,0.00103,,,,,0.942116,0.019,0.0517773,44,-0.06,0.03,2.2,0.5,-0.5,9.8,1,1,0.148,-5.088
HD 168443 c,1749.83,17.193,2.8373,0.2113,35.7,,,,2,RV,2001,275.0166251,-9.595177778,0.724,6.92,37.4252,0.995,1.58859,5591,4.07,0.04,0.57,0.21,0.018,0.0017,11,,,,0.992062,0.019,0.0517773,44,0.06,0.03,0.57,-0.21,-0.018,0.0017,11,,,,0.942116,0.019,0.0517773,44,-0.06,0.03,2.2,0.5,-0.5,9.8,1,1,0.148,-5.088
HD 168746 b,6.403,0.245103,0.0655505,0.081,,,,,1,RV,2002,275.4575,-11.92251389,0.713,7.95,42.04,0.88,0.888361,5610,4.51838,-0.06,0.001,0.0168378,0.00109255,0.029,,,,,0.55,0.01,0.0323351,30,0.06,0.05,0.001,0.0168378,0.00109255,0.029,,,,,-0.54,0.01,0.0323351,30,0.06,0.05,0,0.5,0.5,3.75,,,0.154975,-5.04532
HD 1690 b,533,6.1,1.3,0.64,,,,,1,RV,2011,5.3055,-8.281163889,1.354,9.17,319,1.09,21.1524,4393,2.12,-0.29,1.7,0.9,0.02,0.04,,,,,100,0.15,0.676886,85,0.17,0.06,1.7,0.9,0.02,0.04,,,,,100,0.15,0.676886,85,-0.17,0.06,3.5,,,6.7,3.2,3.2,0.11,
HD 169830 b,225.62,2.88946,0.813279,0.31,,,,,2,RV,2001,276.9561666,-29.81690278,0.517,5.9,36.6032,1.407,1.80318,6221.43,4.05709,0.152981,0.22,0.10205,0.013565,0.01,,,,,0.557686,0.028,0.0583509,44,0.06,0.03,0.22,0.10205,0.013565,0.01,,,,,0.541194,0.112,0.0583509,44,0.06,0.03,3.83422,0.5,0.5,2.8,,,0.139861,-5.11322
HD 169830 c,2102,4.06407,3.60184,0.33,,,,,2,RV,2004,276.9561666,-29.81690278,0.517,5.9,36.6032,1.407,1.80318,6221.43,4.05709,0.152981,264,0.34757,0.307498,0.02,,,,,0.557686,0.028,0.0583509,44,0.06,0.03,264,0.34757,0.307498,0.02,,,,,0.541194,0.112,0.0583509,44,0.06,0.03,3.83422,0.5,0.5,2.8,,,0.14,-5.11322
HD 170469 b,1145,0.668676,2.23538,0.11,,,,,1,RV,2007,277.2958751,11.69554444,0.677,8.05,60.55,1.14,1.22,5810,4.32,0.3,18,0.108596,0.0452381,0.08,,,,,0.87,0.01,0.04,44,0.06,0.03,18,0.108596,0.0452381,0.08,,,,,-0.85,-0.05,-0.04,44,-0.06,0.03,1.7,0.5,-0.5,6.7,0.6,-0.9,0.145,-5.06
HD 17092 b,359.9,4.6,1.29,0.166,,,,,1,RV,2007,41.59214583,49.65305556,1.26,7.74,225.31,2.3,11.8,4650,3,0.22,2.4,0.3,0.05,0.052,,,,,13.45,0.3,1.4,35,0.12,0.08,2.4,0.3,0.05,-0.052,,,,,-12.02,0.3,1.4,35,-0.12,-0.08,,,,,,,,
HD 171028 b,550,1.98809,1.31895,0.59,,,,,1,RV,2007,278.0645541,6.94575,0.61,8.31,112.87,1.01,2.14418,5671,3.84,-0.49,3,0.0872497,0.0265545,0.01,,,,,2.97,0.06,0.0687191,16,0.03,0.02,3,0.0872497,0.0265545,0.01,,,,,-2.82,0.06,0.0687191,16,0.03,0.02,2.3,,,8,2,2,,-4.92
HD 171238 b,1523,2.60901,2.54,0.4,,,,,1,RV,2010,278.6820417,-28.07204722,0.74,8.66,44.08,0.94,1.05059,5467,4.43,0.17,40,0.147705,0.06,0.06,,,,,0.75,0.03,0.0462168,55,0.04,0.007,-45,0.147705,0.06,0.06,,,,,-0.72,-0.03,0.0462168,55,-0.04,0.007,1.48,0,0,4.92,4.11,4.11,,
HD 17156 b,21.2163979,3.191,0.1623,0.6768,87.89,1.095,10,0.887,1,RV,2007,42.43466667,71.75331111,0.643,8.17,79.82,1.275,1.507,6079,4.191,0.24,1.59E-05,0.033,0.002,0.0034,0.11,0.02,5.1,0.0686,1.61,0.018,0.012,56,0.004,0.03,1.59E-05,0.033,0.002,0.0034,-0.11,0.02,5.1,0.0686,-1.55,0.018,0.012,56,0.004,0.03,2.8,0.5,0.5,3.38,0.47,0.47,0.15,-5.04
HD 173416 b,323.6,2.71808,1.16272,0.21,,,,,1,RV,2009,280.9003751,36.55646389,1.035,6.057,139.47,2,14.3919,4683,2.48,-0.22,2.2,0.292406,0.0583746,0.04,,,,,5.66786,0.3,0.460543,100,0.1,0.09,2.2,0.292406,0.0583746,0.04,,,,,5.24184,0.3,0.460543,100,-0.1,-0.09,,,,,,,,
HD 175167 b,1290,7.77836,2.40085,0.54,,,,,1,RV,2010,285.0035417,-69.943775,0.751,8.01,71.73,1.102,,,,0.19,22,2.72299,0.048438,0.09,,,,,1.32,,,,,,22,2.72299,0.048438,0.09,,,,,-1.27,,,,,,,,,,,,,
HD 175370 b,349.5,4.6,0.98,0.22,,,,,1,RV,2016,283.25,43.71361114,,7.19,272,1.02,23.5,4301,,-0.52,4.5,1,0.05,0.1,,,,,33,0.16,3.4,43,,0.07,4.5,1,0.05,0.1,,,,,33,0.16,3.4,43,,0.07,,,,8.7,5,6,,
HD 175541 b,297.3,0.52763,0.961227,0.33,,,,,1,RV,2007,283.920375,4.265541667,0.869,8.03,136.02,1.34,3.8,5111,3.56,-0.07,0.6,0.0875346,0.0230905,0.2,,,,,5.36,0.08,0.09,38,0.08,0.04,-0.6,0.0875346,0.0230905,0.2,,,,,-4.97,0.08,-0.09,38,0.08,0.04,2.9,0.5,-0.5,1.9,1,1,0.11,-5.28
HD 175607 b,29.01,0.02825,,0.11,,,,,1,RV,2015,285.272858,-66.19268,0.7,8.61,40.33,0.71,0.7,5392,4.64,-0.62,0.02,0.00346,,0.09,,,,,0.38,0.01,0.01,17,0.03,0.01,0.02,-0.00346,,0.09,,,,,-0.37,0.01,-0.01,17,-0.03,0.01,1.31,,,10.32,1.58,1.58,,
HD 176051 b,1016,1.5,1.76,0,,,,,1,Astrometry,2010,284.2583333,32.9013889,,5.22,14.99,0.9,,,,,40,0.3,,,,,,,0.13,0.2,,,,,40,0.3,,,,,,,0.13,0.2,,,,,,,,,,,,
HD 17674 b,623.8,0.87,1.42,0,,,,,1,RV,2017,42.76791667,30.28675001,,7.56,44.5,0.98,1.18,5904,,-0.16,1.6,0.07,0.04,0.13,,,,,0.8,0.1,0.1,22,,0.02,1.5,0.06,0.05,0,,,,,0.8,0.1,0.1,22,,0.02,,,,8.4,0.6,0.6,,
HD 17674 b,623.8,0.87,1.42,0.13,,,,,1,Radial Velocity,2017,42.767853,30.286739,0.58,7.56,44.5,0.98,1.18,5904,4.34,-0.16,1.6,0.07,0.04,0.13,,,,,0.8,0.1,0.1,22,0.03,0.02,1.5,0.06,0.05,0,,,,,0.8,0.1,0.1,22,-0.03,0.02,2.3,1,-1,8.4,0.6,0.6,,
HD 177830 b,406.6,1.49,1.2218,0.009,,,,,2,RV,2000,286.3366667,25.92078611,1.093,7.18,62.74,1.17,2.62,4752,3.37,0.55,0.4,0.03,0.0008,0.004,,,,,1.48,0.1,0.06,79,0.02,0.03,0.4,0.03,0.0008,-0.004,,,,,-1.42,0.1,-0.06,79,0.02,0.03,2.53616,0.5,0.5,4.4,2.2,2.2,0.124597,-5.37985
HD 177830 c,110.9,0.15,0.5137,0.3495,,,,,2,RV,2010,286.336548,25.92066,1.091,7.177,62.74,1.47,2.62,4949,3.65,0.55,0.1,0.02,0.0003,0.0002,,,,,1.48,,0.06,,,0.03,-0.1,-0.02,-0.0003,0.0002,,,,,-1.42,,-0.06,,,0.03,2.5,0.5,-0.5,4.4,2.2,2.2,0.125,
HD 178911 B b,71.484,6.292,0.339,0.114,,,,,1,RV,2002,287.26275,34.59936944,0.75,7.97,41.52,1.01,0.894377,5668,4.55434,0.34,0.002,0.059,0.006,0.003,,,,,0.39,0.06,0.0323563,44,0.06,0.03,-0.002,0.059,-0.006,-0.003,,,,,-0.39,-0.06,0.0323563,-44,0.06,-0.03,1.94317,0.5,0.5,5.2,,,0.16834,-4.94432
HD 179079 b,14.476,0.0866,0.1216,0.115,,,,,1,RV,2009,287.7912917,-2.638166667,0.744,7.95,70.71,1.15,1.33814,5724,4.06,0.25,0.011,0.008,0.001,0.087,,,,,1.34,0.03,0.0453368,44,0.06,0.03,-0.011,-0.008,-0.001,0.087,,,,,-1.29,-0.03,0.0453368,44,-0.06,-0.03,0.5,0.5,0.5,,,,0.153,-5.06
HD 179949 b,3.0925,0.902075,0.0439208,0.022,,1.05,,,1,RV,2001,288.888125,-24.17910556,0.548,6.25,27.5482,1.181,1.22645,6260,4.34052,0.136947,3.00E-05,0.0333495,0.000732013,0.015,,,,,0.541679,0.039,0.0409947,43,0.06,0.03,3.00E-05,0.0333495,0.000732013,0.015,,,,,0.521183,0.026,0.0409947,43,0.06,0.03,7.02041,0.5,0.5,2.05,,,0.188126,-4.80469
HD 180314 b,396.03,22.6261,1.45528,0.257,,,,,1,RV,2010,288.7090833,31.8603,1,6.61,121.37,2.6,7.38571,4917,2.98,0.2,0.62,1.75535,0.055993,0.01,,,,,4.22,0.3,0.236375,100,0.1,0.09,0.62,1.75535,0.055993,0.01,,,,,-3.94,0.3,0.236375,100,-0.1,0.09,,,,,,,,
HD 180777 b,28.44,25,0.22,0.2,,,,,1,RV,2006,287.2916667,76.5605556,,5.11,27.3,1.7,,7250,,,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
HD 180902 b,479,1.6,1.38103,0.09,,,,,1,RV,2010,289.8237084,-23.55810556,0.94,7.78,98.88,1.53,4.1,5030,3.5,0.04,13,0.2,0.0368461,0.11,,,,,2.83,0.09,0.1,44,0.06,0.03,13,0.2,0.0368461,0.11,,,,,-2.68,0.09,0.1,44,-0.06,0.03,2.88,0.5,0.5,2.8,0.7,0.7,0.15,-5.14
